Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
01062;BRESSOLLES;01360;;BRESSOLLES;45.869423064,5.1009428902
97801;ST MARTIN;97150;;ST MARTIN;
98711;ANAA;98760;ANAA;TUUHORA;
98716;FAKARAVA;98790;FAKARAVA;MOTU TAPU;
98719;GAMBIER;98755;GAMBIER;AUKENA;
98719;GAMBIER;98755;GAMBIER;MAKAROA;
98719;GAMBIER;98792;GAMBIER;TENARUNGA;
98720;HAO;98790;HAO;HEREHRETUE;
98720;HAO;98790;HAO;PARAOA;
98720;HAO;98790;HAO;AHUNUI;
98721;HIKUERU;98790;HIKUERU;TEPEPERU;
98721;HIKUERU;98790;HIKUERU;MAHETIKA;
98722;HITIAA O TE RA;98707;HITIAA O TE RA;PAPENOO;
98723;HIVA OA;98741;HIVA OA;EIAONE;
98723;HIVA OA;98741;HIVA OA;MOTU UA;
98723;HIVA OA;98741;HIVA OA;NAHOE;
98723;HIVA OA;98741;HIVA OA;PAUMAU;
98724;HUAHINE;98731;HUAHINE;MAROE;
98724;HUAHINE;98731;HUAHINE;PAREA;
98727;MANIHI;98771;MANIHI;TURIPAOA;
98728;MAUPITI;98732;MAUPITI;MOTU ONE;
98728;MAUPITI;98732;MAUPITI;SCILLY;
98729;MOOREA MAIAO;98729;MOOREA MAIAO;OPUNOHU;
98729;MOOREA MAIAO;98729;MOOREA MAIAO;PAOPAO;
98730;NAPUKA;98772;NAPUKA;TEPUKAMARUIA;
98731;NUKU HIVA;98796;NUKU HIVA;HATU ITI;
98735;PAPEETE;98714;;PAPEETE;
98736;PIRAE;98716;;PIRAE;
98738;PUNAAUIA;98703;;PUNAAUIA;
98738;PUNAAUIA;98718;;PUNAAUIA;
98739;RAIVAVAE;98750;RAIVAVAE;VAIURU;
98742;REAO;98779;REAO;TAPUARAVA;
98743;RIMATARA;98752;RIMATARA;AMARU;
98744;RURUTU;98753;RURUTU;HAUTI;
98745;TAHAA;98733;TAHAA;IRIPAU;
98746;TAHUATA;98743;TAHUATA;VAITAHU;
98747;TAIARAPU EST;98721;TAIARAPU EST;PUEU;
98748;TAIARAPU OUEST;98725;TAIARAPU OUEST;VAIRAO;
98749;TAKAROA;98782;TAKAROA;FAKATOPATERE;
98750;TAPUTAPUATEA;98735;TAPUTAPUATEA;AVERA;
98753;TUBUAI;98754;TUBUAI;TAAHUAIA;
98754;TUMARAA;98735;TUMARAA;TEVAITOA;
98756;UA HUKA;98744;UA HUKA;VAIPAEE;
98757;UA POU;98745;UA POU;HAKAHETAU;
98757;UA POU;98745;UA POU;HAKAHAU;
98758;UTUROA;98735;;UTUROA;
98804;CANALA;98813;;CANALA;
98806;FARINO;98881;;FARINO;
98810;KAALA GOMEN;98817;;KAALA GOMEN;
98813;LA FOA;98880;;LA FOA;
98814;LIFOU;98885;LIFOU;MOU;
98815;MARE;98828;MARE;TADINE;
98815;MARE;98878;MARE;LA ROCHE;
98822;POINDIMIE;98822;;POINDIMIE;
98829;THIO;98829;;THIO;
98831;VOH;98833;;VOH;
98832;YATE;98834;;YATE;
99138;MONACO;98000;;MONACO;